"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
2;",,,,,,,";"buzzardLabel";8;"";;;
3;"R5";"0402R";1;"1k";;;
4;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
5;"D2";"0402LED";1;"purple";;;
6;"R1";"1210R";1;"CR1210JR030P05Z";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"C3,C1";"ELECTROLITIC_CAP_8x8x14.5";2;"VKMD1451K101MV";;;
9;"K4,K1,K3,K6";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
10;"U1";"SOICâˆ’8";1;"MC34063ADR";;;
11;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
12;"D1";"SMA_DIODE";1;"SS36A";;;
13;"K5,K2";"2P_TERMINAL_3.5MM";2;"2P_TERMINAL_3.5MM";;;
14;"L1";"CMLF0504-330KTT";1;"GCD54-100MC";;;
15;"R3";"0603R";1;"180R";;;
16;"R4";"tc33x-2-103e";1;"tc33x-2-104e";;;
17;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
18;"C2";"0603C";1;"470pF";;;
19;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
20;"R2";"0603R";1;"3.3k";;;
21;"";"Version1.0.0.";1;"";;;
